Population Aged 15 Years and Over 2011 to 2016 (Number) by Highest,,,,
"Level of Ed, Sex, Age at which Full Time Education Ceased, County and",,,,
City and Census Year,,,,
,,,,
 , , ,Mayo,527
 , , ,Roscommon,247
 , , ,Sligo,212
 , , ,Cavan,247
 , , ,Donegal,403
 , , ,Monaghan,186
 , ,19 years,,
 , , ,State,1823
 , , ,Carlow,28
 , , ,Dublin City,134
 , , ,Dún Laoghaire-Rathdown,52
 , , ,Fingal,98
 , , ,South Dublin,104
 , , ,Kildare,72
 , , ,Kilkenny,35
 , , ,Laois,34
 , , ,Longford,20
 , , ,Louth,42
 , , ,Meath,60
 , , ,Offaly,32
 , , ,Westmeath,33
 , , ,Wexford,89
 , , ,Wicklow,51
 , , ,Clare,42
 , , ,Cork City,41
 , , ,Cork County,183
 , , ,Kerry,66
 , , ,Limerick City and County,106
 , , ,Tipperary,70
 , , ,Waterford City and County,33
 , , ,Galway City,34
 , , ,Galway County,67
 , , ,Leitrim,17
 , , ,Mayo,73
 , , ,Roscommon,34
 , , ,Sligo,32
 , , ,Cavan,56
 , , ,Donegal,59
 , , ,Monaghan,26
 , ,20 years,,
 , , ,State,1242
 , , ,Carlow,14
 , , ,Dublin City,124
 , , ,Dún Laoghaire-Rathdown,35
 , , ,Fingal,89
 , , ,South Dublin,59
 , , ,Kildare,58
 , , ,Kilkenny,37
 , , ,Laois,18
 , , ,Longford,14
 , , ,Louth,22
 , , ,Meath,41
 , , ,Offaly,22
 , , ,Westmeath,24
 , , ,Wexford,36
 , , ,Wicklow,36
 , , ,Clare,32
 , , ,Cork City,33
 , , ,Cork County,126
 , , ,Kerry,36
 , , ,Limerick City and County,59
 , , ,Tipperary,40
 , , ,Waterford City and County,23
 , , ,Galway City,28
 , , ,Galway County,65
 , , ,Leitrim,10
 , , ,Mayo,42
 , , ,Roscommon,24
 , , ,Sligo,21
 , , ,Cavan,28
 , , ,Donegal,26
 , , ,Monaghan,20
 , ,21 years,,
 , , ,State,474
 , , ,Carlow,4
 , , ,Dublin City,64
 , , ,Dún Laoghaire-Rathdown,4
 , , ,Fingal,26
 , , ,South Dublin,35
 , , ,Kildare,16
 , , ,Kilkenny,8
 , , ,Laois,9
 , , ,Longford,3
 , , ,Louth,17
 , , ,Meath,20
 , , ,Offaly,4
 , , ,Westmeath,13
 , , ,Wexford,15
 , , ,Wicklow,15
 , , ,Clare,8
 , , ,Cork City,13
 , , ,Cork County,47
 , , ,Kerry,17
 , , ,Limerick City and County,27
 , , ,Tipperary,9
 , , ,Waterford City and County,8
 , , ,Galway City,8
 , , ,Galway County,20
 , , ,Leitrim,6
 , , ,Mayo,13
 , , ,Roscommon,8
 , , ,Sligo,2
 , , ,Cavan,16
 , , ,Donegal,14
 , , ,Monaghan,5
 , ,22 years,,
 , , ,State,278
 , , ,Carlow,2
 , , ,Dublin City,35
 , , ,Dún Laoghaire-Rathdown,9
 , , ,Fingal,21
 , , ,South Dublin,17
 , , ,Kildare,12
 , , ,Kilkenny,5
 , , ,Laois,6
 , , ,Longford,2
 , , ,Louth,7
 , , ,Meath,10
 , , ,Offaly,3
 , , ,Westmeath,7
 , , ,Wexford,8
 , , ,Wicklow,5
 , , ,Clare,8
 , , ,Cork City,7
 , , ,Cork County,26
 , , ,Kerry,13
 , , ,Limerick City and County,15
 , , ,Tipperary,4
 , , ,Waterford City and County,6
 , , ,Galway City,7
 , , ,Galway County,12
 , , ,Leitrim,0
 , , ,Mayo,9
 , , ,Roscommon,3
 , , ,Sligo,1
 , , ,Cavan,5
 , , ,Donegal,9
 , , ,Monaghan,4
 , ,23 years,,
 , , ,State,146
 , , ,Carlow,2
 , , ,Dublin City,19
 , , ,Dún Laoghaire-Rathdown,6
 , , ,Fingal,13
 , , ,South Dublin,4
 , , ,Kildare,8
 , , ,Kilkenny,3
 , , ,Laois,4
 , , ,Longford,1
 , , ,Louth,4
 , , ,Meath,5
 , , ,Offaly,2
 , , ,Westmeath,2
 , , ,Wexford,3
 , , ,Wicklow,4
 , , ,Clare,2
 , , ,Cork City,8
 , , ,Cork County,11
 , , ,Kerry,4
 , , ,Limerick City and County,6
 , , ,Tipperary,4
 , , ,Waterford City and County,3
 , , ,Galway City,2
 , , ,Galway County,7
 , , ,Leitrim,0
 , , ,Mayo,0
 , , ,Roscommon,5
 , , ,Sligo,2
 , , ,Cavan,6
 , , ,Donegal,5
 , , ,Monaghan,1
 , ,24 years,,
 , , ,State,125
 , , ,Carlow,1
 , , ,Dublin City,15
 , , ,Dún Laoghaire-Rathdown,8
 , , ,Fingal,6
 , , ,South Dublin,8
 , , ,Kildare,7
 , , ,Kilkenny,2
 , , ,Laois,2
 , , ,Longford,1
 , , ,Louth,4
 , , ,Meath,2
 , , ,Offaly,3
 , , ,Westmeath,2
 , , ,Wexford,2
 , , ,Wicklow,2
 , , ,Clare,4
 , , ,Cork City,4
 , , ,Cork County,7
 , , ,Kerry,6
 , , ,Limerick City and County,5
 , , ,Tipperary,8
 , , ,Waterford City and County,3
 , , ,Galway City,5
 , , ,Galway County,6
 , , ,Leitrim,3
 , , ,Mayo,1
 , , ,Roscommon,0
 , , ,Sligo,0
 , , ,Cavan,3
 , , ,Donegal,4
 , , ,Monaghan,1
 , ,25 years and over,,
 , , ,State,1096
 , , ,Carlow,7
 , , ,Dublin City,148
 , , ,Dún Laoghaire-Rathdown,32
 , , ,Fingal,58
 , , ,South Dublin,76
 , , ,Kildare,52
 , , ,Kilkenny,24
 , , ,Laois,27
 , , ,Longford,11
 , , ,Louth,30
 , , ,Meath,30
 , , ,Offaly,17
 , , ,Westmeath,14
 , , ,Wexford,27
 , , ,Wicklow,33
 , , ,Clare,32
 , , ,Cork City,49
 , , ,Cork County,108
 , , ,Kerry,37
 , , ,Limerick City and County,35
 , , ,Tipperary,38
 , , ,Waterford City and County,25
 , , ,Galway City,12
 , , ,Galway County,42
 , , ,Leitrim,5
 , , ,Mayo,27
 , , ,Roscommon,13
 , , ,Sligo,15
 , , ,Cavan,14
 , , ,Donegal,45
 , , ,Monaghan,13
 ,Female,,,
 , ,18 years,,
 , , ,State,13507
 , , ,Carlow,184
 , , ,Dublin City,1119
 , , ,Dún Laoghaire-Rathdown,437
 , , ,Fingal,597
 , , ,South Dublin,691
 , , ,Kildare,509
 , , ,Kilkenny,336
 , , ,Laois,255
 , , ,Longford,139
 , , ,Louth,364
 , , ,Meath,475
 , , ,Offaly,272
 , , ,Westmeath,247
 , , ,Wexford,614
 , , ,Wicklow,353
 , , ,Clare,469
 , , ,Cork City,298
 , , ,Cork County,1163
 , , ,Kerry,542
 , , ,Limerick City and County,638
 , , ,Tipperary,561
 , , ,Waterford City and County,324
 , , ,Galway City,158
 , , ,Galway County,631
 , , ,Leitrim,129
 , , ,Mayo,581
 , , ,Roscommon,253
 , , ,Sligo,232
 , , ,Cavan,271
 , , ,Donegal,439
 , , ,Monaghan,226
 , ,19 years,,
 , , ,State,1909
 , , ,Carlow,29
 , , ,Dublin City,161
 , , ,Dún Laoghaire-Rathdown,51
 , , ,Fingal,101
 , , ,South Dublin,104
 , , ,Kildare,84
 , , ,Kilkenny,52
 , , ,Laois,25
 , , ,Longford,27
 , , ,Louth,54
 , , ,Meath,75
 , , ,Offaly,33
 , , ,Westmeath,30
 , , ,Wexford,81
 , , ,Wicklow,41
 , , ,Clare,57
 , , ,Cork City,49
 , , ,Cork County,174
 , , ,Kerry,74
 , , ,Limerick City and County,88
 , , ,Tipperary,80
 , , ,Waterford City and County,37
 , , ,Galway City,30
 , , ,Galway County,94
 , , ,Leitrim,23
 , , ,Mayo,67
 , , ,Roscommon,33
 , , ,Sligo,27
 , , ,Cavan,41
 , , ,Donegal,55
 , , ,Monaghan,32
 , ,20 years,,
 , , ,State,1040
 , , ,Carlow,9
 , , ,Dublin City,93
 , , ,Dún Laoghaire-Rathdown,28
 , , ,Fingal,72
 , , ,South Dublin,51
 , , ,Kildare,36
 , , ,Kilkenny,12
 , , ,Laois,22
 , , ,Longford,10
 , , ,Louth,24
 , , ,Meath,33
 , , ,Offaly,17
 , , ,Westmeath,27
 , , ,Wexford,35
 , , ,Wicklow,28
 , , ,Clare,35
 , , ,Cork City,34
 , , ,Cork County,113
 , , ,Kerry,42
 , , ,Limerick City and County,37
 , , ,Tipperary,36
 , , ,Waterford City and County,15
 , , ,Galway City,19
 , , ,Galway County,47
 , , ,Leitrim,14
 , , ,Mayo,32
 , , ,Roscommon,18
 , , ,Sligo,13
 , , ,Cavan,24
 , , ,Donegal,45
 , , ,Monaghan,19
 , ,21 years,,
 , , ,State,444
 , , ,Carlow,8
 , , ,Dublin City,40
 , , ,Dún Laoghaire-Rathdown,18
 , , ,Fingal,20
 , , ,South Dublin,24
 , , ,Kildare,15
 , , ,Kilkenny,9
 , , ,Laois,5
 , , ,Longford,8
 , , ,Louth,11
 , , ,Meath,16
 , , ,Offaly,5
 , , ,Westmeath,10
 , , ,Wexford,18
 , , ,Wicklow,12
 , , ,Clare,14
 , , ,Cork City,5
 , , ,Cork County,40
 , , ,Kerry,22
 , , ,Limerick City and County,16
 , , ,Tipperary,9
 , , ,Waterford City and County,7
 , , ,Galway City,11
 , , ,Galway County,23
 , , ,Leitrim,3
 , , ,Mayo,18
 , , ,Roscommon,11
 , , ,Sligo,6
 , , ,Cavan,12
 , , ,Donegal,23
 , , ,Monaghan,5
 , ,22 years,,
 , , ,State,257
 , , ,Carlow,3
 , , ,Dublin City,19
 , , ,Dún Laoghaire-Rathdown,15
 , , ,Fingal,15
 , , ,South Dublin,20
 , , ,Kildare,14
 , , ,Kilkenny,5
 , , ,Laois,4
 , , ,Longford,3
 , , ,Louth,2
 , , ,Meath,7
 , , ,Offaly,2
 , , ,Westmeath,3
 , , ,Wexford,9
 , , ,Wicklow,6
 , , ,Clare,4
 , , ,Cork City,5
 , , ,Cork County,30
 , , ,Kerry,12
 , , ,Limerick City and County,16
 , , ,Tipperary,6
 , , ,Waterford City and County,4
 , , ,Galway City,5
 , , ,Galway County,12
 , , ,Leitrim,3
 , , ,Mayo,2
 , , ,Roscommon,5
 , , ,Sligo,4
 , , ,Cavan,4
 , , ,Donegal,10
 , , ,Monaghan,8
 , ,23 years,,
 , , ,State,126
 , , ,Carlow,1
 , , ,Dublin City,17
 , , ,Dún Laoghaire-Rathdown,6
 , , ,Fingal,6
 , , ,South Dublin,7
 , , ,Kildare,8
 , , ,Kilkenny,1
 , , ,Laois,0
 , , ,Longford,0
 , , ,Louth,2
 , , ,Meath,2
 , , ,Offaly,2
 , , ,Westmeath,3
 , , ,Wexford,7
 , , ,Wicklow,6
 , , ,Clare,2
 , , ,Cork City,4
 , , ,Cork County,13
 , , ,Kerry,3
 , , ,Limerick City and County,4
 , , ,Tipperary,4
 , , ,Waterford City and County,1
 , , ,Galway City,1
 , , ,Galway County,5
 , , ,Leitrim,1
 , , ,Mayo,3
 , , ,Roscommon,4
 , , ,Sligo,2
 , , ,Cavan,4
 , , ,Donegal,6
 , , ,Monaghan,1
 , ,24 years,,
 , , ,State,136
 , , ,Carlow,1
 , , ,Dublin City,20
 , , ,Dún Laoghaire-Rathdown,3
 , , ,Fingal,7
 , , ,South Dublin,9
 , , ,Kildare,6
 , , ,Kilkenny,2
 , , ,Laois,3
 , , ,Longford,1
 , , ,Louth,4
 , , ,Meath,5
 , , ,Offaly,1
 , , ,Westmeath,1
 , , ,Wexford,3
 , , ,Wicklow,5
 , , ,Clare,4
 , , ,Cork City,5
 , , ,Cork County,11
 , , ,Kerry,4
 , , ,Limerick City and County,4
 , , ,Tipperary,7
 , , ,Waterford City and County,3
 , , ,Galway City,5
 , , ,Galway County,3
 , , ,Leitrim,2
 , , ,Mayo,1
 , , ,Roscommon,3
 , , ,Sligo,0
 , , ,Cavan,3
 , , ,Donegal,7
 , , ,Monaghan,3
 , ,25 years and over,,
 , , ,State,1279
 , , ,Carlow,17
 , , ,Dublin City,158
 , , ,Dún Laoghaire-Rathdown,50
 , , ,Fingal,72
 , , ,South Dublin,80
 , , ,Kildare,55
 , , ,Kilkenny,29
 , , ,Laois,26
 , , ,Longford,14
 , , ,Louth,32
 , , ,Meath,56
 , , ,Offaly,25
 , , ,Westmeath,29
 , , ,Wexford,44
 , , ,Wicklow,44
 , , ,Clare,32
 , , ,Cork City,44
 , , ,Cork County,106
 , , ,Kerry,34
 , , ,Limerick City and County,59
 , , ,Tipperary,32
 , , ,Waterford City and County,32
 , , ,Galway City,13
 , , ,Galway County,54
 , , ,Leitrim,10
 , , ,Mayo,23
 , , ,Roscommon,13
 , , ,Sligo,18
 , , ,Cavan,19
 , , ,Donegal,41
 , , ,Monaghan,18
Upper secondary,,,,
 ,Male,,,
 , ,18 years,,
 , , ,State,95874
 , , ,Carlow,1126
 , , ,Dublin City,8633
 , , ,Dún Laoghaire-Rathdown,3688
 , , ,Fingal,5736
 , , ,South Dublin,5203
 , , ,Kildare,4373
 , , ,Kilkenny,2263
 , , ,Laois,1898
 , , ,Longford,913
 , , ,Louth,2562
 , , ,Meath,4004
 , , ,Offaly,1718
 , , ,Westmeath,1870
 , , ,Wexford,3835
 , , ,Wicklow,2765
 , , ,Clare,2790
 , , ,Cork City,2291
 , , ,Cork County,8638
 , , ,Kerry,3206
 , , ,Limerick City and County,4330
 , , ,Tipperary,3985
 , , ,Waterford City and County,2362
 , , ,Galway City,1136
 , , ,Galway County,4053
 , , ,Leitrim,638
 , , ,Mayo,3619
 , , ,Roscommon,1612
 , , ,Sligo,1297
 , , ,Cavan,1428
 , , ,Donegal,2598
 , , ,Monaghan,1304
 , ,19 years,,
 , , ,State,19980
 , , ,Carlow,260
 , , ,Dublin City,1868
 , , ,Dún Laoghaire-Rathdown,798
 , , ,Fingal,1275
 , , ,South Dublin,1045
 , , ,Kildare,902
 , , ,Kilkenny,460
 , , ,Laois,386
 , , ,Longford,188
 , , ,Louth,498
 , , ,Meath,729
 , , ,Offaly,314
 , , ,Westmeath,345
 , , ,Wexford,691
 , , ,Wicklow,623
 , , ,Clare,540
 , , ,Cork City,556
 , , ,Cork County,2101
 , , ,Kerry,647
 , , ,Limerick City and County,896
 , , ,Tipperary,729
 , , ,Waterford City and County,394
 , , ,Galway City,329
 , , ,Galway County,814
 , , ,Leitrim,119
 , , ,Mayo,738
 , , ,Roscommon,315
 , , ,Sligo,306
 , , ,Cavan,286
 , , ,Donegal,542
 , , ,Monaghan,286
 , ,20 years,,
 , , ,State,9518
 , , ,Carlow,117
 , , ,Dublin City,946
 , , ,Dún Laoghaire-Rathdown,445
 , , ,Fingal,620
 , , ,South Dublin,504
 , , ,Kildare,435
 , , ,Kilkenny,212
 , , ,Laois,165
 , , ,Longford,96
 , , ,Louth,213
 , , ,Meath,364
 , , ,Offaly,139
 , , ,Westmeath,189
 , , ,Wexford,278
 , , ,Wicklow,263
 , , ,Clare,269
 , , ,Cork City,280
 , , ,Cork County,1016
 , , ,Kerry,299
 , , ,Limerick City and County,397
 , , ,Tipperary,306
 , , ,Waterford City and County,213
 , , ,Galway City,182
 , , ,Galway County,380
 , , ,Leitrim,68
 , , ,Mayo,287
 , , ,Roscommon,146
 , , ,Sligo,144
 , , ,Cavan,168
 , , ,Donegal,251
 , , ,Monaghan,126
 , ,21 years,,
 , , ,State,4470
 , , ,Carlow,36
 , , ,Dublin City,524
 , , ,Dún Laoghaire-Rathdown,245
 , , ,Fingal,303
 , , ,South Dublin,246
 , , ,Kildare,215
 , , ,Kilkenny,86
 , , ,Laois,74
 , , ,Longford,30
 , , ,Louth,82
 , , ,Meath,174
 , , ,Offaly,52
 , , ,Westmeath,84
 , , ,Wexford,139
 , , ,Wicklow,135
 , , ,Clare,114
 , , ,Cork City,153
 , , ,Cork County,424
 , , ,Kerry,146
 , , ,Limerick City and County,205
 , , ,Tipperary,131
 , , ,Waterford City and County,104
 , , ,Galway City,104
 , , ,Galway County,164
 , , ,Leitrim,23
 , , ,Mayo,150
 , , ,Roscommon,64
 , , ,Sligo,54
 , , ,Cavan,56
 , , ,Donegal,106
 , , ,Monaghan,47
 , ,22 years,,
 , , ,State,2439
 , , ,Carlow,27
 , , ,Dublin City,347
 , , ,Dún Laoghaire-Rathdown,149
 , , ,Fingal,147
 , , ,South Dublin,152
 , , ,Kildare,108
 , , ,Kilkenny,45
 , , ,Laois,42
 , , ,Longford,17
 , , ,Louth,50
 , , ,Meath,106
 , , ,Offaly,29
 , , ,Westmeath,45
 , , ,Wexford,62
 , , ,Wicklow,81
 , , ,Clare,57
 , , ,Cork City,85
 , , ,Cork County,217
 , , ,Kerry,67
 , , ,Limerick City and County,108
 , , ,Tipperary,66
 , , ,Waterford City and County,46
 , , ,Galway City,63
 , , ,Galway County,99
 , , ,Leitrim,14
 , , ,Mayo,59
 , , ,Roscommon,29
 , , ,Sligo,22
 , , ,Cavan,27
 , , ,Donegal,47
 , , ,Monaghan,26
 , ,23 years,,
 , , ,State,1199
 , , ,Carlow,12
 , , ,Dublin City,187
 , , ,Dún Laoghaire-Rathdown,70
 , , ,Fingal,109
 , , ,South Dublin,78
 , , ,Kildare,46
 , , ,Kilkenny,22
 , , ,Laois,34
 , , ,Longford,8
 , , ,Louth,23
 , , ,Meath,30
 , , ,Offaly,9
 , , ,Westmeath,14
 , , ,Wexford,33
 , , ,Wicklow,42
 , , ,Clare,31
 , , ,Cork City,52
 , , ,Cork County,92
 , , ,Kerry,32
 , , ,Limerick City and County,47
 , , ,Tipperary,28
 , , ,Waterford City and County,31
 , , ,Galway City,30
 , , ,Galway County,28
 , , ,Leitrim,2
 , , ,Mayo,36
 , , ,Roscommon,15
 , , ,Sligo,19
 , , ,Cavan,10
 , , ,Donegal,22
 , , ,Monaghan,7
 , ,24 years,,
 , , ,State,844
 , , ,Carlow,13
 , , ,Dublin City,137
 , , ,Dún Laoghaire-Rathdown,52
 , , ,Fingal,53
 , , ,South Dublin,47
 , , ,Kildare,45
 , , ,Kilkenny,16
 , , ,Laois,17
 , , ,Longford,5
 , , ,Louth,16
 , , ,Meath,27
 , , ,Offaly,9
 , , ,Westmeath,14
 , , ,Wexford,24
 , , ,Wicklow,20
 , , ,Clare,17
 , , ,Cork City,34
 , , ,Cork County,75
 , , ,Kerry,24
 , , ,Limerick City and County,34
 , , ,Tipperary,16
 , , ,Waterford City and County,12
 , , ,Galway City,19
 , , ,Galway County,33
 , , ,Leitrim,9
 , , ,Mayo,11
 , , ,Roscommon,9
 , , ,Sligo,11
 , , ,Cavan,13
 , , ,Donegal,27
 , , ,Monaghan,5
 , ,25 years and over,,
 , , ,State,3008
 , , ,Carlow,43
 , , ,Dublin City,469
 , , ,Dún Laoghaire-Rathdown,180
 , , ,Fingal,208
 , , ,South Dublin,201
 , , ,Kildare,115
 , , ,Kilkenny,55
 , , ,Laois,57
 , , ,Longford,24
 , , ,Louth,85
 , , ,Meath,113
 , , ,Offaly,35
 , , ,Westmeath,39
 , , ,Wexford,82
 , , ,Wicklow,95
 , , ,Clare,68
 , , ,Cork City,115
 , , ,Cork County,204
 , , ,Kerry,93
 , , ,Limerick City and County,134
 , , ,Tipperary,78
 , , ,Waterford City and County,72
 , , ,Galway City,61
 , , ,Galway County,73
 , , ,Leitrim,17
 , , ,Mayo,72
 , , ,Roscommon,37
 , , ,Sligo,48
 , , ,Cavan,35
 , , ,Donegal,77
 , , ,Monaghan,23
 ,Female,,,
 , ,18 years,,
 , , ,State,104430
 , , ,Carlow,1192
 , , ,Dublin City,9341
 , , ,Dún Laoghaire-Rathdown,4505
 , , ,Fingal,6390
 , , ,South Dublin,5955
 , , ,Kildare,4831
 , , ,Kilkenny,2410
 , , ,Laois,1967
 , , ,Longford,918
 , , ,Louth,2636
 , , ,Meath,4513
 , , ,Offaly,1901
 , , ,Westmeath,2002
 , , ,Wexford,4015
 , , ,Wicklow,2913
 , , ,Clare,2994
 , , ,Cork City,2520
 , , ,Cork County,9342
 , , ,Kerry,3454
 , , ,Limerick City and County,4595
 , , ,Tipperary,4243
 , , ,Waterford City and County,2639
 , , ,Galway City,1178
 , , ,Galway County,4349
 , , ,Leitrim,723
 , , ,Mayo,3813
 , , ,Roscommon,1795
 , , ,Sligo,1500
 , , ,Cavan,1595
 , , ,Donegal,2773
 , , ,Monaghan,1428
 , ,19 years,,
 , , ,State,24438
 , , ,Carlow,330
 , , ,Dublin City,1998
 , , ,Dún Laoghaire-Rathdown,1033
 , , ,Fingal,1428
 , , ,South Dublin,1240
 , , ,Kildare,1097
 , , ,Kilkenny,564
 , , ,Laois,450
 , , ,Longford,246
 , , ,Louth,578
 , , ,Meath,1029
 , , ,Offaly,425
 , , ,Westmeath,430
 , , ,Wexford,939
 , , ,Wicklow,768
 , , ,Clare,643
 , , ,Cork City,592
 , , ,Cork County,2606
 , , ,Kerry,806
 , , ,Limerick City and County,1134
 , , ,Tipperary,926
 , , ,Waterford City and County,569
 , , ,Galway City,361
 , , ,Galway County,1020
 , , ,Leitrim,159
 , , ,Mayo,911
 , , ,Roscommon,411
 , , ,Sligo,351
 , , ,Cavan,449
 , , ,Donegal,605
 , , ,Monaghan,340
 , ,20 years,,
 , , ,State,8971
 , , ,Carlow,115
 , , ,Dublin City,813
 , , ,Dún Laoghaire-Rathdown,408
 , , ,Fingal,553
 , , ,South Dublin,462
 , , ,Kildare,436
 , , ,Kilkenny,199
 , , ,Laois,178
 , , ,Longford,76
 , , ,Louth,236
 , , ,Meath,385
 , , ,Offaly,150
 , , ,Westmeath,160
 , , ,Wexford,267
 , , ,Wicklow,266
 , , ,Clare,251
 , , ,Cork City,226
 , , ,Cork County,966
 , , ,Kerry,320
 , , ,Limerick City and County,424
 , , ,Tipperary,296
 , , ,Waterford City and County,186
 , , ,Galway City,167
 , , ,Galway County,364
 , , ,Leitrim,55
 , , ,Mayo,294
 , , ,Roscommon,117
 , , ,Sligo,130
 , , ,Cavan,146
 , , ,Donegal,219
 , , ,Monaghan,106
 , ,21 years,,
 , , ,State,3686
 , , ,Carlow,35
 , , ,Dublin City,391
 , , ,Dún Laoghaire-Rathdown,183
 , , ,Fingal,213
 , , ,South Dublin,190
 , , ,Kildare,155
 , , ,Kilkenny,84
 , , ,Laois,81
 , , ,Longford,39
 , , ,Louth,90
 , , ,Meath,132
 , , ,Offaly,52
 , , ,Westmeath,65
 , , ,Wexford,119
 , , ,Wicklow,109
 , , ,Clare,95
 , , ,Cork City,110
 , , ,Cork County,374
 , , ,Kerry,140
 , , ,Limerick City and County,133
 , , ,Tipperary,112
 , , ,Waterford City and County,71
 , , ,Galway City,83
 , , ,Galway County,158
 , , ,Leitrim,26
 , , ,Mayo,107
 , , ,Roscommon,45
 , , ,Sligo,69
 , , ,Cavan,69
 , , ,Donegal,111
 , , ,Monaghan,45
 , ,22 years,,
 , , ,State,2006
 , , ,Carlow,22
 , , ,Dublin City,216
 , , ,Dún Laoghaire-Rathdown,101
 , , ,Fingal,124
 , , ,South Dublin,111
 , , ,Kildare,80
 , , ,Kilkenny,47
 , , ,Laois,32
 , , ,Longford,19
 , , ,Louth,60
 , , ,Meath,69
 , , ,Offaly,28
 , , ,Westmeath,38
 , , ,Wexford,60
 , , ,Wicklow,58
 , , ,Clare,60
 , , ,Cork City,61
 , , ,Cork County,187
 , , ,Kerry,77
 , , ,Limerick City and County,91
 , , ,Tipperary,54
 , , ,Waterford City and County,47
 , , ,Galway City,39
 , , ,Galway County,80
 , , ,Leitrim,10
 , , ,Mayo,57
 , , ,Roscommon,23
 , , ,Sligo,30
 , , ,Cavan,43
 , , ,Donegal,53
 , , ,Monaghan,29
 , ,23 years,,
 , , ,State,1036
 , , ,Carlow,9
 , , ,Dublin City,120
 , , ,Dún Laoghaire-Rathdown,54
 , , ,Fingal,65
 , , ,South Dublin,47
 , , ,Kildare,48
 , , ,Kilkenny,20
 , , ,Laois,19
 , , ,Longford,4
 , , ,Louth,28
 , , ,Meath,38
 , , ,Offaly,19
 , , ,Westmeath,19
 , , ,Wexford,39
 , , ,Wicklow,23
 , , ,Clare,24
 , , ,Cork City,31
 , , ,Cork County,104
 , , ,Kerry,26
 , , ,Limerick City and County,47
 , , ,Tipperary,33
 , , ,Waterford City and County,28
 , , ,Galway City,30
 , , ,Galway County,40
 , , ,Leitrim,6
 , , ,Mayo,31
 , , ,Roscommon,9
 , , ,Sligo,15
 , , ,Cavan,17
 , , ,Donegal,28
 , , ,Monaghan,15
 , ,24 years,,
 , , ,State,628
 , , ,Carlow,7
 , , ,Dublin City,75
 , , ,Dún Laoghaire-Rathdown,35
 , , ,Fingal,43
 , , ,South Dublin,38
 , , ,Kildare,19
 , , ,Kilkenny,14
 , , ,Laois,13
 , , ,Longford,6
 , , ,Louth,17
 , , ,Meath,22
 , , ,Offaly,8
 , , ,Westmeath,13
 , , ,Wexford,17
 , , ,Wicklow,24
 , , ,Clare,17
 , , ,Cork City,26
 , , ,Cork County,45
 , , ,Kerry,18
 , , ,Limerick City and County,13
 , , ,Tipperary,25
 , , ,Waterford City and County,17
 , , ,Galway City,13
 , , ,Galway County,28
 , , ,Leitrim,6
 , , ,Mayo,15
 , , ,Roscommon,14
 , , ,Sligo,14
 , , ,Cavan,8
 , , ,Donegal,13
 , , ,Monaghan,5
 , ,25 years and over,,
 , , ,State,3268
 , , ,Carlow,42
 , , ,Dublin City,423
 , , ,Dún Laoghaire-Rathdown,165
 , , ,Fingal,234
 , , ,South Dublin,179
 , , ,Kildare,122
 , , ,Kilkenny,55
 , , ,Laois,49
 , , ,Longford,34
 , , ,Louth,95
 , , ,Meath,115
 , , ,Offaly,47
 , , ,Westmeath,62
 , , ,Wexford,97
 , , ,Wicklow,106
 , , ,Clare,82
 , , ,Cork City,102
 , , ,Cork County,256
 , , ,Kerry,114
 , , ,Limerick City and County,169
 , , ,Tipperary,98
 , , ,Waterford City and County,70
 , , ,Galway City,55
 , , ,Galway County,108
 , , ,Leitrim,20
 , , ,Mayo,100
 , , ,Roscommon,54
 , , ,Sligo,39
 , , ,Cavan,43
 , , ,Donegal,99
 , , ,Monaghan,34
Technical/vocational,,,,
 ,Male,,,
 , ,18 years,,
 , , ,State,19803
 , , ,Carlow,277
 , , ,Dublin City,1649
 , , ,Dún Laoghaire-Rathdown,531
 , , ,Fingal,1128
 , , ,South Dublin,1034
 , , ,Kildare,899
 , , ,Kilkenny,493
 , , ,Laois,422
 , , ,Longford,245
 , , ,Louth,533
 , , ,Meath,886
 , , ,Offaly,405
 , , ,Westmeath,391
 , , ,Wexford,805
 , , ,Wicklow,565
 , , ,Clare,514
 , , ,Cork City,417
 , , ,Cork County,1957
 , , ,Kerry,683
 , , ,Limerick City and County,826
 , , ,Tipperary,782
 , , ,Waterford City and County,472
 , , ,Galway City,271
 , , ,Galway County,844
 , , ,Leitrim,163
 , , ,Mayo,592
 , , ,Roscommon,303
 , , ,Sligo,317
 , , ,Cavan,468
 , , ,Donegal,601
 , , ,Monaghan,330
 , ,19 years,,
 , , ,State,10814
 , , ,Carlow,162
 , , ,Dublin City,922
 , , ,Dún Laoghaire-Rathdown,277
 , , ,Fingal,701
 , , ,South Dublin,598
 , , ,Kildare,501
 , , ,Kilkenny,241
 , , ,Laois,215
 , , ,Longford,141
 , , ,Louth,270
 , , ,Meath,486
 , , ,Offaly,181
 , , ,Westmeath,211
 , , ,Wexford,440
 , , ,Wicklow,288
 , , ,Clare,270
 , , ,Cork City,212
 , , ,Cork County,1144
 , , ,Kerry,343
 , , ,Limerick City and County,410
 , , ,Tipperary,450
 , , ,Waterford City and County,258
 , , ,Galway City,175
 , , ,Galway County,456
 , , ,Leitrim,89
 , , ,Mayo,344
 , , ,Roscommon,165
 , , ,Sligo,146
 , , ,Cavan,291
 , , ,Donegal,272
 , , ,Monaghan,155
 , ,20 years,,
 , , ,State,10426
 , , ,Carlow,145
