Education,Gender,Age,County,Occurrences
Upper secondary,Male,23 years,Louth,23
Upper secondary,Male,23 years,Meath,30
Upper secondary,Male,23 years,Offaly,9
Upper secondary,Male,23 years,Westmeath,14
Upper secondary,Male,23 years,Wexford,33
Upper secondary,Male,23 years,Wicklow,42
Upper secondary,Male,23 years,Clare,31
Upper secondary,Male,23 years,Cork City,52
Upper secondary,Male,23 years,Cork County,92
Upper secondary,Male,23 years,Kerry,32
Upper secondary,Male,23 years,Limerick City and County,47
Upper secondary,Male,23 years,Tipperary,28
Upper secondary,Male,23 years,Waterford City and County,31
Upper secondary,Male,23 years,Galway City,30
Upper secondary,Male,23 years,Galway County,28
Upper secondary,Male,23 years,Leitrim,2
Upper secondary,Male,23 years,Mayo,36
Upper secondary,Male,23 years,Roscommon,15
Upper secondary,Male,23 years,Sligo,19
Upper secondary,Male,23 years,Cavan,10
Upper secondary,Male,23 years,Donegal,22
Upper secondary,Male,23 years,Monaghan,7
,,,,
Upper secondary,Male,24 years,State,844
Upper secondary,Male,24 years,Carlow,13
Upper secondary,Male,24 years,Dublin City,137
Upper secondary,Male,24 years,Dún Laoghaire-Rathdown,52
Upper secondary,Male,24 years,Fingal,53
Upper secondary,Male,24 years,South Dublin,47
Upper secondary,Male,24 years,Kildare,45
Upper secondary,Male,24 years,Kilkenny,16
Upper secondary,Male,24 years,Laois,17
Upper secondary,Male,24 years,Longford,5
Upper secondary,Male,24 years,Louth,16
Upper secondary,Male,24 years,Meath,27
Upper secondary,Male,24 years,Offaly,9
Upper secondary,Male,24 years,Westmeath,14
Upper secondary,Male,24 years,Wexford,24
Upper secondary,Male,24 years,Wicklow,20
Upper secondary,Male,24 years,Clare,17
Upper secondary,Male,24 years,Cork City,34
Upper secondary,Male,24 years,Cork County,75
Upper secondary,Male,24 years,Kerry,24
Upper secondary,Male,24 years,Limerick City and County,34
Upper secondary,Male,24 years,Tipperary,16
Upper secondary,Male,24 years,Waterford City and County,12
Upper secondary,Male,24 years,Galway City,19
Upper secondary,Male,24 years,Galway County,33
Upper secondary,Male,24 years,Leitrim,9
Upper secondary,Male,24 years,Mayo,11
Upper secondary,Male,24 years,Roscommon,9
Upper secondary,Male,24 years,Sligo,11
Upper secondary,Male,24 years,Cavan,13
Upper secondary,Male,24 years,Donegal,27
Upper secondary,Male,24 years,Monaghan,5
,,,,
Upper secondary,Male,25 years and over,State,3008
Upper secondary,Male,25 years and over,Carlow,43
Upper secondary,Male,25 years and over,Dublin City,469
Upper secondary,Male,25 years and over,Dún Laoghaire-Rathdown,180
Upper secondary,Male,25 years and over,Fingal,208
Upper secondary,Male,25 years and over,South Dublin,201
Upper secondary,Male,25 years and over,Kildare,115
Upper secondary,Male,25 years and over,Kilkenny,55
Upper secondary,Male,25 years and over,Laois,57
Upper secondary,Male,25 years and over,Longford,24
Upper secondary,Male,25 years and over,Louth,85
Upper secondary,Male,25 years and over,Meath,113
Upper secondary,Male,25 years and over,Offaly,35
Upper secondary,Male,25 years and over,Westmeath,39
Upper secondary,Male,25 years and over,Wexford,82
Upper secondary,Male,25 years and over,Wicklow,95
Upper secondary,Male,25 years and over,Clare,68
Upper secondary,Male,25 years and over,Cork City,115
Upper secondary,Male,25 years and over,Cork County,204
Upper secondary,Male,25 years and over,Kerry,93
Upper secondary,Male,25 years and over,Limerick City and County,134
Upper secondary,Male,25 years and over,Tipperary,78
Upper secondary,Male,25 years and over,Waterford City and County,72
Upper secondary,Male,25 years and over,Galway City,61
Upper secondary,Male,25 years and over,Galway County,73
Upper secondary,Male,25 years and over,Leitrim,17
Upper secondary,Male,25 years and over,Mayo,72
Upper secondary,Male,25 years and over,Roscommon,37
Upper secondary,Male,25 years and over,Sligo,48
Upper secondary,Male,25 years and over,Cavan,35
Upper secondary,Male,25 years and over,Donegal,77
Upper secondary,Male,25 years and over,Monaghan,23
,,,,
,,,,
Upper secondary,Female,18 years,State,104430
Upper secondary,Female,18 years,Carlow,1192
Upper secondary,Female,18 years,Dublin City,9341
Upper secondary,Female,18 years,Dún Laoghaire-Rathdown,4505
Upper secondary,Female,18 years,Fingal,6390
Upper secondary,Female,18 years,South Dublin,5955
Upper secondary,Female,18 years,Kildare,4831
Upper secondary,Female,18 years,Kilkenny,2410
Upper secondary,Female,18 years,Laois,1967
Upper secondary,Female,18 years,Longford,918
Upper secondary,Female,18 years,Louth,2636
Upper secondary,Female,18 years,Meath,4513
Upper secondary,Female,18 years,Offaly,1901
Upper secondary,Female,18 years,Westmeath,2002
Upper secondary,Female,18 years,Wexford,4015
Upper secondary,Female,18 years,Wicklow,2913
Upper secondary,Female,18 years,Clare,2994
Upper secondary,Female,18 years,Cork City,2520
Upper secondary,Female,18 years,Cork County,9342
Upper secondary,Female,18 years,Kerry,3454
Upper secondary,Female,18 years,Limerick City and County,4595
Upper secondary,Female,18 years,Tipperary,4243
Upper secondary,Female,18 years,Waterford City and County,2639
Upper secondary,Female,18 years,Galway City,1178
Upper secondary,Female,18 years,Galway County,4349
Upper secondary,Female,18 years,Leitrim,723
Upper secondary,Female,18 years,Mayo,3813
Upper secondary,Female,18 years,Roscommon,1795
Upper secondary,Female,18 years,Sligo,1500
Upper secondary,Female,18 years,Cavan,1595
Upper secondary,Female,18 years,Donegal,2773
Upper secondary,Female,18 years,Monaghan,1428
,,,,
Upper secondary,Female,19 years,State,24438
Upper secondary,Female,19 years,Carlow,330
Upper secondary,Female,19 years,Dublin City,1998
Upper secondary,Female,19 years,Dún Laoghaire-Rathdown,1033
Upper secondary,Female,19 years,Fingal,1428
Upper secondary,Female,19 years,South Dublin,1240
Upper secondary,Female,19 years,Kildare,1097
Upper secondary,Female,19 years,Kilkenny,564
Upper secondary,Female,19 years,Laois,450
Upper secondary,Female,19 years,Longford,246
Upper secondary,Female,19 years,Louth,578
Upper secondary,Female,19 years,Meath,1029
Upper secondary,Female,19 years,Offaly,425
Upper secondary,Female,19 years,Westmeath,430
Upper secondary,Female,19 years,Wexford,939
Upper secondary,Female,19 years,Wicklow,768
Upper secondary,Female,19 years,Clare,643
Upper secondary,Female,19 years,Cork City,592
Upper secondary,Female,19 years,Cork County,2606
Upper secondary,Female,19 years,Kerry,806
Upper secondary,Female,19 years,Limerick City and County,1134
Upper secondary,Female,19 years,Tipperary,926
Upper secondary,Female,19 years,Waterford City and County,569
Upper secondary,Female,19 years,Galway City,361
Upper secondary,Female,19 years,Galway County,1020
Upper secondary,Female,19 years,Leitrim,159
Upper secondary,Female,19 years,Mayo,911
Upper secondary,Female,19 years,Roscommon,411
Upper secondary,Female,19 years,Sligo,351
Upper secondary,Female,19 years,Cavan,449
Upper secondary,Female,19 years,Donegal,605
Upper secondary,Female,19 years,Monaghan,340
,,,,
Upper secondary,Female,20 years,State,8971
Upper secondary,Female,20 years,Carlow,115
Upper secondary,Female,20 years,Dublin City,813
Upper secondary,Female,20 years,Dún Laoghaire-Rathdown,408
Upper secondary,Female,20 years,Fingal,553
Upper secondary,Female,20 years,South Dublin,462
Upper secondary,Female,20 years,Kildare,436
Upper secondary,Female,20 years,Kilkenny,199
Upper secondary,Female,20 years,Laois,178
Upper secondary,Female,20 years,Longford,76
Upper secondary,Female,20 years,Louth,236
Upper secondary,Female,20 years,Meath,385
Upper secondary,Female,20 years,Offaly,150
Upper secondary,Female,20 years,Westmeath,160
Upper secondary,Female,20 years,Wexford,267
Upper secondary,Female,20 years,Wicklow,266
Upper secondary,Female,20 years,Clare,251
Upper secondary,Female,20 years,Cork City,226
Upper secondary,Female,20 years,Cork County,966
Upper secondary,Female,20 years,Kerry,320
Upper secondary,Female,20 years,Limerick City and County,424
Upper secondary,Female,20 years,Tipperary,296
Upper secondary,Female,20 years,Waterford City and County,186
Upper secondary,Female,20 years,Galway City,167
Upper secondary,Female,20 years,Galway County,364
Upper secondary,Female,20 years,Leitrim,55
Upper secondary,Female,20 years,Mayo,294
Upper secondary,Female,20 years,Roscommon,117
Upper secondary,Female,20 years,Sligo,130
Upper secondary,Female,20 years,Cavan,146
Upper secondary,Female,20 years,Donegal,219
Upper secondary,Female,20 years,Monaghan,106
,,,,
Upper secondary,Female,21 years,State,3686
Upper secondary,Female,21 years,Carlow,35
Upper secondary,Female,21 years,Dublin City,391
Upper secondary,Female,21 years,Dún Laoghaire-Rathdown,183
Upper secondary,Female,21 years,Fingal,213
Upper secondary,Female,21 years,South Dublin,190
Upper secondary,Female,21 years,Kildare,155
Upper secondary,Female,21 years,Kilkenny,84
Upper secondary,Female,21 years,Laois,81
Upper secondary,Female,21 years,Longford,39
Upper secondary,Female,21 years,Louth,90
Upper secondary,Female,21 years,Meath,132
Upper secondary,Female,21 years,Offaly,52
Upper secondary,Female,21 years,Westmeath,65
Upper secondary,Female,21 years,Wexford,119
Upper secondary,Female,21 years,Wicklow,109
Upper secondary,Female,21 years,Clare,95
Upper secondary,Female,21 years,Cork City,110
Upper secondary,Female,21 years,Cork County,374
Upper secondary,Female,21 years,Kerry,140
Upper secondary,Female,21 years,Limerick City and County,133
Upper secondary,Female,21 years,Tipperary,112
Upper secondary,Female,21 years,Waterford City and County,71
Upper secondary,Female,21 years,Galway City,83
Upper secondary,Female,21 years,Galway County,158
Upper secondary,Female,21 years,Leitrim,26
Upper secondary,Female,21 years,Mayo,107
Upper secondary,Female,21 years,Roscommon,45
Upper secondary,Female,21 years,Sligo,69
Upper secondary,Female,21 years,Cavan,69
Upper secondary,Female,21 years,Donegal,111
Upper secondary,Female,21 years,Monaghan,45
,,,,
Upper secondary,Female,22 years,State,2006
Upper secondary,Female,22 years,Carlow,22
Upper secondary,Female,22 years,Dublin City,216
Upper secondary,Female,22 years,Dún Laoghaire-Rathdown,101
Upper secondary,Female,22 years,Fingal,124
Upper secondary,Female,22 years,South Dublin,111
Upper secondary,Female,22 years,Kildare,80
Upper secondary,Female,22 years,Kilkenny,47
Upper secondary,Female,22 years,Laois,32
Upper secondary,Female,22 years,Longford,19
Upper secondary,Female,22 years,Louth,60
Upper secondary,Female,22 years,Meath,69
Upper secondary,Female,22 years,Offaly,28
Upper secondary,Female,22 years,Westmeath,38
Upper secondary,Female,22 years,Wexford,60
Upper secondary,Female,22 years,Wicklow,58
Upper secondary,Female,22 years,Clare,60
Upper secondary,Female,22 years,Cork City,61
Upper secondary,Female,22 years,Cork County,187
Upper secondary,Female,22 years,Kerry,77
Upper secondary,Female,22 years,Limerick City and County,91
Upper secondary,Female,22 years,Tipperary,54
Upper secondary,Female,22 years,Waterford City and County,47
Upper secondary,Female,22 years,Galway City,39
Upper secondary,Female,22 years,Galway County,80
Upper secondary,Female,22 years,Leitrim,10
Upper secondary,Female,22 years,Mayo,57
Upper secondary,Female,22 years,Roscommon,23
Upper secondary,Female,22 years,Sligo,30
Upper secondary,Female,22 years,Cavan,43
Upper secondary,Female,22 years,Donegal,53
Upper secondary,Female,22 years,Monaghan,29
,,,,
Upper secondary,Female,23 years,State,1036
Upper secondary,Female,23 years,Carlow,9
Upper secondary,Female,23 years,Dublin City,120
Upper secondary,Female,23 years,Dún Laoghaire-Rathdown,54
Upper secondary,Female,23 years,Fingal,65
Upper secondary,Female,23 years,South Dublin,47
Upper secondary,Female,23 years,Kildare,48
Upper secondary,Female,23 years,Kilkenny,20
Upper secondary,Female,23 years,Laois,19
Upper secondary,Female,23 years,Longford,4
Upper secondary,Female,23 years,Louth,28
Upper secondary,Female,23 years,Meath,38
Upper secondary,Female,23 years,Offaly,19
Upper secondary,Female,23 years,Westmeath,19
Upper secondary,Female,23 years,Wexford,39
Upper secondary,Female,23 years,Wicklow,23
Upper secondary,Female,23 years,Clare,24
Upper secondary,Female,23 years,Cork City,31
Upper secondary,Female,23 years,Cork County,104
Upper secondary,Female,23 years,Kerry,26
Upper secondary,Female,23 years,Limerick City and County,47
Upper secondary,Female,23 years,Tipperary,33
Upper secondary,Female,23 years,Waterford City and County,28
Upper secondary,Female,23 years,Galway City,30
Upper secondary,Female,23 years,Galway County,40
Upper secondary,Female,23 years,Leitrim,6
Upper secondary,Female,23 years,Mayo,31
Upper secondary,Female,23 years,Roscommon,9
Upper secondary,Female,23 years,Sligo,15
Upper secondary,Female,23 years,Cavan,17
Upper secondary,Female,23 years,Donegal,28
Upper secondary,Female,23 years,Monaghan,15
,,,,
Upper secondary,Female,24 years,State,628
Upper secondary,Female,24 years,Carlow,7
Upper secondary,Female,24 years,Dublin City,75
Upper secondary,Female,24 years,Dún Laoghaire-Rathdown,35
Upper secondary,Female,24 years,Fingal,43
Upper secondary,Female,24 years,South Dublin,38
Upper secondary,Female,24 years,Kildare,19
Upper secondary,Female,24 years,Kilkenny,14
Upper secondary,Female,24 years,Laois,13
Upper secondary,Female,24 years,Longford,6
Upper secondary,Female,24 years,Louth,17
Upper secondary,Female,24 years,Meath,22
Upper secondary,Female,24 years,Offaly,8
Upper secondary,Female,24 years,Westmeath,13
Upper secondary,Female,24 years,Wexford,17
Upper secondary,Female,24 years,Wicklow,24
Upper secondary,Female,24 years,Clare,17
Upper secondary,Female,24 years,Cork City,26
Upper secondary,Female,24 years,Cork County,45
Upper secondary,Female,24 years,Kerry,18
Upper secondary,Female,24 years,Limerick City and County,13
Upper secondary,Female,24 years,Tipperary,25
Upper secondary,Female,24 years,Waterford City and County,17
Upper secondary,Female,24 years,Galway City,13
Upper secondary,Female,24 years,Galway County,28
Upper secondary,Female,24 years,Leitrim,6
Upper secondary,Female,24 years,Mayo,15
Upper secondary,Female,24 years,Roscommon,14
Upper secondary,Female,24 years,Sligo,14
Upper secondary,Female,24 years,Cavan,8
Upper secondary,Female,24 years,Donegal,13
Upper secondary,Female,24 years,Monaghan,5
,,,,
Upper secondary,Female,25 years and over,State,3268
Upper secondary,Female,25 years and over,Carlow,42
Upper secondary,Female,25 years and over,Dublin City,423
Upper secondary,Female,25 years and over,Dún Laoghaire-Rathdown,165
Upper secondary,Female,25 years and over,Fingal,234
Upper secondary,Female,25 years and over,South Dublin,179
Upper secondary,Female,25 years and over,Kildare,122
Upper secondary,Female,25 years and over,Kilkenny,55
Upper secondary,Female,25 years and over,Laois,49
Upper secondary,Female,25 years and over,Longford,34
Upper secondary,Female,25 years and over,Louth,95
Upper secondary,Female,25 years and over,Meath,115
Upper secondary,Female,25 years and over,Offaly,47
Upper secondary,Female,25 years and over,Westmeath,62
Upper secondary,Female,25 years and over,Wexford,97
Upper secondary,Female,25 years and over,Wicklow,106
Upper secondary,Female,25 years and over,Clare,82
Upper secondary,Female,25 years and over,Cork City,102
Upper secondary,Female,25 years and over,Cork County,256
Upper secondary,Female,25 years and over,Kerry,114
Upper secondary,Female,25 years and over,Limerick City and County,169
Upper secondary,Female,25 years and over,Tipperary,98
Upper secondary,Female,25 years and over,Waterford City and County,70
Upper secondary,Female,25 years and over,Galway City,55
Upper secondary,Female,25 years and over,Galway County,108
Upper secondary,Female,25 years and over,Leitrim,20
Upper secondary,Female,25 years and over,Mayo,100
Upper secondary,Female,25 years and over,Roscommon,54
Upper secondary,Female,25 years and over,Sligo,39
Upper secondary,Female,25 years and over,Cavan,43
Upper secondary,Female,25 years and over,Donegal,99
Upper secondary,Female,25 years and over,Monaghan,34
,,,,
,,,,
,,,,
Technical/vocational,Male,18 years,State,19803
Technical/vocational,Male,18 years,Carlow,277
Technical/vocational,Male,18 years,Dublin City,1649
Technical/vocational,Male,18 years,Dún Laoghaire-Rathdown,531
Technical/vocational,Male,18 years,Fingal,1128
Technical/vocational,Male,18 years,South Dublin,1034
Technical/vocational,Male,18 years,Kildare,899
Technical/vocational,Male,18 years,Kilkenny,493
Technical/vocational,Male,18 years,Laois,422
Technical/vocational,Male,18 years,Longford,245
Technical/vocational,Male,18 years,Louth,533
Technical/vocational,Male,18 years,Meath,886
Technical/vocational,Male,18 years,Offaly,405
Technical/vocational,Male,18 years,Westmeath,391
Technical/vocational,Male,18 years,Wexford,805
Technical/vocational,Male,18 years,Wicklow,565
Technical/vocational,Male,18 years,Clare,514
Technical/vocational,Male,18 years,Cork City,417
Technical/vocational,Male,18 years,Cork County,1957
Technical/vocational,Male,18 years,Kerry,683
Technical/vocational,Male,18 years,Limerick City and County,826
Technical/vocational,Male,18 years,Tipperary,782
Technical/vocational,Male,18 years,Waterford City and County,472
Technical/vocational,Male,18 years,Galway City,271
Technical/vocational,Male,18 years,Galway County,844
Technical/vocational,Male,18 years,Leitrim,163
Technical/vocational,Male,18 years,Mayo,592
Technical/vocational,Male,18 years,Roscommon,303
Technical/vocational,Male,18 years,Sligo,317
Technical/vocational,Male,18 years,Cavan,468
Technical/vocational,Male,18 years,Donegal,601
Technical/vocational,Male,18 years,Monaghan,330
,,,,
Technical/vocational,Male,19 years,State,10814
Technical/vocational,Male,19 years,Carlow,162
Technical/vocational,Male,19 years,Dublin City,922
Technical/vocational,Male,19 years,Dún Laoghaire-Rathdown,277
Technical/vocational,Male,19 years,Fingal,701
Technical/vocational,Male,19 years,South Dublin,598
Technical/vocational,Male,19 years,Kildare,501
Technical/vocational,Male,19 years,Kilkenny,241
Technical/vocational,Male,19 years,Laois,215
Technical/vocational,Male,19 years,Longford,141
Technical/vocational,Male,19 years,Louth,270
Technical/vocational,Male,19 years,Meath,486
Technical/vocational,Male,19 years,Offaly,181
Technical/vocational,Male,19 years,Westmeath,211
Technical/vocational,Male,19 years,Wexford,440
Technical/vocational,Male,19 years,Wicklow,288
Technical/vocational,Male,19 years,Clare,270
Technical/vocational,Male,19 years,Cork City,212
Technical/vocational,Male,19 years,Cork County,1144
Technical/vocational,Male,19 years,Kerry,343
Technical/vocational,Male,19 years,Limerick City and County,410
Technical/vocational,Male,19 years,Tipperary,450
Technical/vocational,Male,19 years,Waterford City and County,258
Technical/vocational,Male,19 years,Galway City,175
Technical/vocational,Male,19 years,Galway County,456
Technical/vocational,Male,19 years,Leitrim,89
Technical/vocational,Male,19 years,Mayo,344
Technical/vocational,Male,19 years,Roscommon,165
Technical/vocational,Male,19 years,Sligo,146
Technical/vocational,Male,19 years,Cavan,291
Technical/vocational,Male,19 years,Donegal,272
Technical/vocational,Male,19 years,Monaghan,155
,,,,
Technical/vocational,Male,20 years,State,10426
Technical/vocational,Male,20 years,Carlow,145
Technical/vocational,Male,20 years,Dublin City,854
Technical/vocational,Male,20 years,Dún Laoghaire-Rathdown,329
Technical/vocational,Male,20 years,Fingal,683
Technical/vocational,Male,20 years,South Dublin,587
Technical/vocational,Male,20 years,Kildare,519
Technical/vocational,Male,20 years,Kilkenny,252
Technical/vocational,Male,20 years,Laois,179
Technical/vocational,Male,20 years,Longford,120
Technical/vocational,Male,20 years,Louth,295
Technical/vocational,Male,20 years,Meath,477
Technical/vocational,Male,20 years,Offaly,195
Technical/vocational,Male,20 years,Westmeath,201
Technical/vocational,Male,20 years,Wexford,344
Technical/vocational,Male,20 years,Wicklow,300
Technical/vocational,Male,20 years,Clare,274
Technical/vocational,Male,20 years,Cork City,253
Technical/vocational,Male,20 years,Cork County,1175
Technical/vocational,Male,20 years,Kerry,370
Technical/vocational,Male,20 years,Limerick City and County,420
Technical/vocational,Male,20 years,Tipperary,332
Technical/vocational,Male,20 years,Waterford City and County,223
Technical/vocational,Male,20 years,Galway City,207
Technical/vocational,Male,20 years,Galway County,459
Technical/vocational,Male,20 years,Leitrim,69
Technical/vocational,Male,20 years,Mayo,293
Technical/vocational,Male,20 years,Roscommon,148
Technical/vocational,Male,20 years,Sligo,139
Technical/vocational,Male,20 years,Cavan,246
Technical/vocational,Male,20 years,Donegal,216
Technical/vocational,Male,20 years,Monaghan,122
,,,,
Technical/vocational,Male,21 years,State,6185
Technical/vocational,Male,21 years,Carlow,71
Technical/vocational,Male,21 years,Dublin City,565
Technical/vocational,Male,21 years,Dún Laoghaire-Rathdown,260
Technical/vocational,Male,21 years,Fingal,434
Technical/vocational,Male,21 years,South Dublin,372
Technical/vocational,Male,21 years,Kildare,317
Technical/vocational,Male,21 years,Kilkenny,123
Technical/vocational,Male,21 years,Laois,87
Technical/vocational,Male,21 years,Longford,66
Technical/vocational,Male,21 years,Louth,160
Technical/vocational,Male,21 years,Meath,265
Technical/vocational,Male,21 years,Offaly,86
Technical/vocational,Male,21 years,Westmeath,96
Technical/vocational,Male,21 years,Wexford,209
Technical/vocational,Male,21 years,Wicklow,181
Technical/vocational,Male,21 years,Clare,147
Technical/vocational,Male,21 years,Cork City,183
Technical/vocational,Male,21 years,Cork County,772
Technical/vocational,Male,21 years,Kerry,219
Technical/vocational,Male,21 years,Limerick City and County,221
Technical/vocational,Male,21 years,Tipperary,186
Technical/vocational,Male,21 years,Waterford City and County,140
Technical/vocational,Male,21 years,Galway City,115
Technical/vocational,Male,21 years,Galway County,241
Technical/vocational,Male,21 years,Leitrim,37
Technical/vocational,Male,21 years,Mayo,162
Technical/vocational,Male,21 years,Roscommon,72
Technical/vocational,Male,21 years,Sligo,87
Technical/vocational,Male,21 years,Cavan,117
Technical/vocational,Male,21 years,Donegal,131
Technical/vocational,Male,21 years,Monaghan,63
,,,,
Technical/vocational,Male,22 years,State,3532
Technical/vocational,Male,22 years,Carlow,42
Technical/vocational,Male,22 years,Dublin City,384
Technical/vocational,Male,22 years,Dún Laoghaire-Rathdown,159
Technical/vocational,Male,22 years,Fingal,226
Technical/vocational,Male,22 years,South Dublin,217
Technical/vocational,Male,22 years,Kildare,189
Technical/vocational,Male,22 years,Kilkenny,65
Technical/vocational,Male,22 years,Laois,51
Technical/vocational,Male,22 years,Longford,26
Technical/vocational,Male,22 years,Louth,70
Technical/vocational,Male,22 years,Meath,163
Technical/vocational,Male,22 years,Offaly,53
Technical/vocational,Male,22 years,Westmeath,66
Technical/vocational,Male,22 years,Wexford,95
Technical/vocational,Male,22 years,Wicklow,107
Technical/vocational,Male,22 years,Clare,82
Technical/vocational,Male,22 years,Cork City,98
Technical/vocational,Male,22 years,Cork County,402
Technical/vocational,Male,22 years,Kerry,117
Technical/vocational,Male,22 years,Limerick City and County,135
Technical/vocational,Male,22 years,Tipperary,99
Technical/vocational,Male,22 years,Waterford City and County,69
Technical/vocational,Male,22 years,Galway City,72
Technical/vocational,Male,22 years,Galway County,137
Technical/vocational,Male,22 years,Leitrim,26
Technical/vocational,Male,22 years,Mayo,101
Technical/vocational,Male,22 years,Roscommon,32
Technical/vocational,Male,22 years,Sligo,36
Technical/vocational,Male,22 years,Cavan,80
Technical/vocational,Male,22 years,Donegal,89
Technical/vocational,Male,22 years,Monaghan,44
,,,,
Technical/vocational,Male,23 years,State,1825
Technical/vocational,Male,23 years,Carlow,24
Technical/vocational,Male,23 years,Dublin City,226
Technical/vocational,Male,23 years,Dún Laoghaire-Rathdown,70
Technical/vocational,Male,23 years,Fingal,131
Technical/vocational,Male,23 years,South Dublin,110
Technical/vocational,Male,23 years,Kildare,94
Technical/vocational,Male,23 years,Kilkenny,29
Technical/vocational,Male,23 years,Laois,26
Technical/vocational,Male,23 years,Longford,17
Technical/vocational,Male,23 years,Louth,31
Technical/vocational,Male,23 years,Meath,69
Technical/vocational,Male,23 years,Offaly,27
Technical/vocational,Male,23 years,Westmeath,29
Technical/vocational,Male,23 years,Wexford,68
Technical/vocational,Male,23 years,Wicklow,57
Technical/vocational,Male,23 years,Clare,49
Technical/vocational,Male,23 years,Cork City,55
Technical/vocational,Male,23 years,Cork County,209
Technical/vocational,Male,23 years,Kerry,51
Technical/vocational,Male,23 years,Limerick City and County,70
Technical/vocational,Male,23 years,Tipperary,46
Technical/vocational,Male,23 years,Waterford City and County,36
Technical/vocational,Male,23 years,Galway City,48
Technical/vocational,Male,23 years,Galway County,63
Technical/vocational,Male,23 years,Leitrim,11
Technical/vocational,Male,23 years,Mayo,49
Technical/vocational,Male,23 years,Roscommon,30
Technical/vocational,Male,23 years,Sligo,16
Technical/vocational,Male,23 years,Cavan,34
Technical/vocational,Male,23 years,Donegal,36
Technical/vocational,Male,23 years,Monaghan,14
,,,,
Technical/vocational,Male,24 years,State,1263
Technical/vocational,Male,24 years,Carlow,21
Technical/vocational,Male,24 years,Dublin City,161
Technical/vocational,Male,24 years,Dún Laoghaire-Rathdown,51
Technical/vocational,Male,24 years,Fingal,87
Technical/vocational,Male,24 years,South Dublin,96
Technical/vocational,Male,24 years,Kildare,57
Technical/vocational,Male,24 years,Kilkenny,25
Technical/vocational,Male,24 years,Laois,26
Technical/vocational,Male,24 years,Longford,15
Technical/vocational,Male,24 years,Louth,35
Technical/vocational,Male,24 years,Meath,50
Technical/vocational,Male,24 years,Offaly,19
Technical/vocational,Male,24 years,Westmeath,17
Technical/vocational,Male,24 years,Wexford,34
Technical/vocational,Male,24 years,Wicklow,43
Technical/vocational,Male,24 years,Clare,24
Technical/vocational,Male,24 years,Cork City,42
Technical/vocational,Male,24 years,Cork County,109
Technical/vocational,Male,24 years,Kerry,46
Technical/vocational,Male,24 years,Limerick City and County,45
Technical/vocational,Male,24 years,Tipperary,31
Technical/vocational,Male,24 years,Waterford City and County,24
Technical/vocational,Male,24 years,Galway City,25
Technical/vocational,Male,24 years,Galway County,52
Technical/vocational,Male,24 years,Leitrim,9
Technical/vocational,Male,24 years,Mayo,33
Technical/vocational,Male,24 years,Roscommon,12
Technical/vocational,Male,24 years,Sligo,13
Technical/vocational,Male,24 years,Cavan,19
Technical/vocational,Male,24 years,Donegal,28
Technical/vocational,Male,24 years,Monaghan,14
,,,,
Technical/vocational,Male,25 years and over,State,5580
Technical/vocational,Male,25 years and over,Carlow,46
Technical/vocational,Male,25 years and over,Dublin City,740
Technical/vocational,Male,25 years and over,Dún Laoghaire-Rathdown,211
Technical/vocational,Male,25 years and over,Fingal,384
Technical/vocational,Male,25 years and over,South Dublin,348
Technical/vocational,Male,25 years and over,Kildare,246
Technical/vocational,Male,25 years and over,Kilkenny,119
Technical/vocational,Male,25 years and over,Laois,89
Technical/vocational,Male,25 years and over,Longford,46
Technical/vocational,Male,25 years and over,Louth,171
Technical/vocational,Male,25 years and over,Meath,181
Technical/vocational,Male,25 years and over,Offaly,66
Technical/vocational,Male,25 years and over,Westmeath,96
Technical/vocational,Male,25 years and over,Wexford,158
Technical/vocational,Male,25 years and over,Wicklow,191
Technical/vocational,Male,25 years and over,Clare,139
Technical/vocational,Male,25 years and over,Cork City,222
Technical/vocational,Male,25 years and over,Cork County,539
Technical/vocational,Male,25 years and over,Kerry,167
Technical/vocational,Male,25 years and over,Limerick City and County,204
Technical/vocational,Male,25 years and over,Tipperary,160
Technical/vocational,Male,25 years and over,Waterford City and County,164
Technical/vocational,Male,25 years and over,Galway City,119
Technical/vocational,Male,25 years and over,Galway County,167
Technical/vocational,Male,25 years and over,Leitrim,43
Technical/vocational,Male,25 years and over,Mayo,134
Technical/vocational,Male,25 years and over,Roscommon,73
Technical/vocational,Male,25 years and over,Sligo,96
Technical/vocational,Male,25 years and over,Cavan,87
Technical/vocational,Male,25 years and over,Donegal,112
Technical/vocational,Male,25 years and over,Monaghan,62
,,,,
,,,,
Technical/vocational,Female,18 years,State,27536
Technical/vocational,Female,18 years,Carlow,376
Technical/vocational,Female,18 years,Dublin City,2289
Technical/vocational,Female,18 years,Dún Laoghaire-Rathdown,907
Technical/vocational,Female,18 years,Fingal,1735
Technical/vocational,Female,18 years,South Dublin,1592
Technical/vocational,Female,18 years,Kildare,1352
Technical/vocational,Female,18 years,Kilkenny,675
Technical/vocational,Female,18 years,Laois,545
Technical/vocational,Female,18 years,Longford,265
Technical/vocational,Female,18 years,Louth,726
Technical/vocational,Female,18 years,Meath,1293
Technical/vocational,Female,18 years,Offaly,507
Technical/vocational,Female,18 years,Westmeath,490
Technical/vocational,Female,18 years,Wexford,1208
Technical/vocational,Female,18 years,Wicklow,923
Technical/vocational,Female,18 years,Clare,738
Technical/vocational,Female,18 years,Cork City,555
Technical/vocational,Female,18 years,Cork County,2481
