Education,Gender,Age,County,Occurrences
No formal education,Male,23 years,Carlow,0
No formal education,Male,23 years,Dublin City,1
No formal education,Male,23 years,Dún Laoghaire-Rathdown,1
No formal education,Male,23 years,Fingal,0
No formal education,Male,23 years,South Dublin,0
No formal education,Male,23 years,Kildare,0
No formal education,Male,23 years,Kilkenny,0
No formal education,Male,23 years,Laois,1
No formal education,Male,23 years,Longford,0
No formal education,Male,23 years,Louth,0
No formal education,Male,23 years,Meath,0
No formal education,Male,23 years,Offaly,0
No formal education,Male,23 years,Westmeath,0
No formal education,Male,23 years,Wexford,0
No formal education,Male,23 years,Wicklow,1
No formal education,Male,23 years,Clare,0
No formal education,Male,23 years,Cork City,0
No formal education,Male,23 years,Cork County,0
No formal education,Male,23 years,Kerry,0
No formal education,Male,23 years,Limerick City and County,0
No formal education,Male,23 years,Tipperary,0
No formal education,Male,23 years,Waterford City and County,0
No formal education,Male,23 years,Galway City,0
No formal education,Male,23 years,Galway County,0
No formal education,Male,23 years,Leitrim,0
No formal education,Male,23 years,Mayo,0
No formal education,Male,23 years,Roscommon,0
No formal education,Male,23 years,Sligo,0
No formal education,Male,23 years,Cavan,0
No formal education,Male,23 years,Donegal,0
No formal education,Male,23 years,Monaghan,0
,,,,
No formal education,Male,24 years,State,6
No formal education,Male,24 years,Carlow,0
No formal education,Male,24 years,Dublin City,0
No formal education,Male,24 years,Dún Laoghaire-Rathdown,0
No formal education,Male,24 years,Fingal,0
No formal education,Male,24 years,South Dublin,0
No formal education,Male,24 years,Kildare,0
No formal education,Male,24 years,Kilkenny,0
No formal education,Male,24 years,Laois,0
No formal education,Male,24 years,Longford,0
No formal education,Male,24 years,Louth,0
No formal education,Male,24 years,Meath,0
No formal education,Male,24 years,Offaly,0
No formal education,Male,24 years,Westmeath,1
No formal education,Male,24 years,Wexford,0
No formal education,Male,24 years,Wicklow,2
No formal education,Male,24 years,Clare,0
No formal education,Male,24 years,Cork City,0
No formal education,Male,24 years,Cork County,1
No formal education,Male,24 years,Kerry,0
No formal education,Male,24 years,Limerick City and County,0
No formal education,Male,24 years,Tipperary,1
No formal education,Male,24 years,Waterford City and County,0
No formal education,Male,24 years,Galway City,1
No formal education,Male,24 years,Galway County,0
No formal education,Male,24 years,Leitrim,0
No formal education,Male,24 years,Mayo,0
No formal education,Male,24 years,Roscommon,0
No formal education,Male,24 years,Sligo,0
No formal education,Male,24 years,Cavan,0
No formal education,Male,24 years,Donegal,0
No formal education,Male,24 years,Monaghan,0
,,,,
No formal education,Male,25 years and over,State,60
No formal education,Male,25 years and over,Carlow,2
No formal education,Male,25 years and over,Dublin City,13
No formal education,Male,25 years and over,Dún Laoghaire-Rathdown,1
No formal education,Male,25 years and over,Fingal,1
No formal education,Male,25 years and over,South Dublin,3
No formal education,Male,25 years and over,Kildare,0
No formal education,Male,25 years and over,Kilkenny,0
No formal education,Male,25 years and over,Laois,0
No formal education,Male,25 years and over,Longford,0
No formal education,Male,25 years and over,Louth,3
No formal education,Male,25 years and over,Meath,2
No formal education,Male,25 years and over,Offaly,0
No formal education,Male,25 years and over,Westmeath,2
No formal education,Male,25 years and over,Wexford,2
No formal education,Male,25 years and over,Wicklow,4
No formal education,Male,25 years and over,Clare,1
No formal education,Male,25 years and over,Cork City,3
No formal education,Male,25 years and over,Cork County,6
No formal education,Male,25 years and over,Kerry,1
No formal education,Male,25 years and over,Limerick City and County,3
No formal education,Male,25 years and over,Tipperary,1
No formal education,Male,25 years and over,Waterford City and County,1
No formal education,Male,25 years and over,Galway City,0
No formal education,Male,25 years and over,Galway County,1
No formal education,Male,25 years and over,Leitrim,0
No formal education,Male,25 years and over,Mayo,2
No formal education,Male,25 years and over,Roscommon,3
No formal education,Male,25 years and over,Sligo,2
No formal education,Male,25 years and over,Cavan,2
No formal education,Male,25 years and over,Donegal,1
No formal education,Male,25 years and over,Monaghan,0
,,,,
,,,,
No formal education,Female,18 years,State,623
No formal education,Female,18 years,Carlow,6
No formal education,Female,18 years,Dublin City,44
No formal education,Female,18 years,Dún Laoghaire-Rathdown,15
No formal education,Female,18 years,Fingal,29
No formal education,Female,18 years,South Dublin,48
No formal education,Female,18 years,Kildare,30
No formal education,Female,18 years,Kilkenny,22
No formal education,Female,18 years,Laois,18
No formal education,Female,18 years,Longford,5
No formal education,Female,18 years,Louth,16
No formal education,Female,18 years,Meath,23
No formal education,Female,18 years,Offaly,10
No formal education,Female,18 years,Westmeath,9
No formal education,Female,18 years,Wexford,26
No formal education,Female,18 years,Wicklow,10
No formal education,Female,18 years,Clare,9
No formal education,Female,18 years,Cork City,29
No formal education,Female,18 years,Cork County,47
No formal education,Female,18 years,Kerry,28
No formal education,Female,18 years,Limerick City and County,39
No formal education,Female,18 years,Tipperary,24
No formal education,Female,18 years,Waterford City and County,10
No formal education,Female,18 years,Galway City,13
No formal education,Female,18 years,Galway County,10
No formal education,Female,18 years,Leitrim,4
No formal education,Female,18 years,Mayo,26
No formal education,Female,18 years,Roscommon,11
No formal education,Female,18 years,Sligo,34
No formal education,Female,18 years,Cavan,8
No formal education,Female,18 years,Donegal,13
No formal education,Female,18 years,Monaghan,7
,,,,
No formal education,Female,19 years,State,52
No formal education,Female,19 years,Carlow,1
No formal education,Female,19 years,Dublin City,8
No formal education,Female,19 years,Dún Laoghaire-Rathdown,2
No formal education,Female,19 years,Fingal,6
No formal education,Female,19 years,South Dublin,2
No formal education,Female,19 years,Kildare,2
No formal education,Female,19 years,Kilkenny,2
No formal education,Female,19 years,Laois,2
No formal education,Female,19 years,Longford,0
No formal education,Female,19 years,Louth,1
No formal education,Female,19 years,Meath,1
No formal education,Female,19 years,Offaly,1
No formal education,Female,19 years,Westmeath,2
No formal education,Female,19 years,Wexford,2
No formal education,Female,19 years,Wicklow,1
No formal education,Female,19 years,Clare,0
No formal education,Female,19 years,Cork City,1
No formal education,Female,19 years,Cork County,4
No formal education,Female,19 years,Kerry,3
No formal education,Female,19 years,Limerick City and County,1
No formal education,Female,19 years,Tipperary,2
No formal education,Female,19 years,Waterford City and County,1
No formal education,Female,19 years,Galway City,1
No formal education,Female,19 years,Galway County,1
No formal education,Female,19 years,Leitrim,0
No formal education,Female,19 years,Mayo,0
No formal education,Female,19 years,Roscommon,0
No formal education,Female,19 years,Sligo,2
No formal education,Female,19 years,Cavan,1
No formal education,Female,19 years,Donegal,2
No formal education,Female,19 years,Monaghan,0
,,,,
No formal education,Female,20 years,State,25
No formal education,Female,20 years,Carlow,1
No formal education,Female,20 years,Dublin City,4
No formal education,Female,20 years,Dún Laoghaire-Rathdown,0
No formal education,Female,20 years,Fingal,2
No formal education,Female,20 years,South Dublin,1
No formal education,Female,20 years,Kildare,1
No formal education,Female,20 years,Kilkenny,0
No formal education,Female,20 years,Laois,1
No formal education,Female,20 years,Longford,0
No formal education,Female,20 years,Louth,0
No formal education,Female,20 years,Meath,1
No formal education,Female,20 years,Offaly,0
No formal education,Female,20 years,Westmeath,0
No formal education,Female,20 years,Wexford,2
No formal education,Female,20 years,Wicklow,1
No formal education,Female,20 years,Clare,0
No formal education,Female,20 years,Cork City,1
No formal education,Female,20 years,Cork County,1
No formal education,Female,20 years,Kerry,0
No formal education,Female,20 years,Limerick City and County,3
No formal education,Female,20 years,Tipperary,0
No formal education,Female,20 years,Waterford City and County,0
No formal education,Female,20 years,Galway City,1
No formal education,Female,20 years,Galway County,0
No formal education,Female,20 years,Leitrim,0
No formal education,Female,20 years,Mayo,1
No formal education,Female,20 years,Roscommon,0
No formal education,Female,20 years,Sligo,1
No formal education,Female,20 years,Cavan,1
No formal education,Female,20 years,Donegal,2
No formal education,Female,20 years,Monaghan,0
,,,,
No formal education,Female,21 years,State,17
No formal education,Female,21 years,Carlow,0
No formal education,Female,21 years,Dublin City,3
No formal education,Female,21 years,Dún Laoghaire-Rathdown,1
No formal education,Female,21 years,Fingal,0
No formal education,Female,21 years,South Dublin,1
No formal education,Female,21 years,Kildare,0
No formal education,Female,21 years,Kilkenny,0
No formal education,Female,21 years,Laois,0
No formal education,Female,21 years,Longford,0
No formal education,Female,21 years,Louth,0
No formal education,Female,21 years,Meath,2
No formal education,Female,21 years,Offaly,0
No formal education,Female,21 years,Westmeath,0
No formal education,Female,21 years,Wexford,2
No formal education,Female,21 years,Wicklow,0
No formal education,Female,21 years,Clare,2
No formal education,Female,21 years,Cork City,0
No formal education,Female,21 years,Cork County,2
No formal education,Female,21 years,Kerry,1
No formal education,Female,21 years,Limerick City and County,1
No formal education,Female,21 years,Tipperary,0
No formal education,Female,21 years,Waterford City and County,0
No formal education,Female,21 years,Galway City,1
No formal education,Female,21 years,Galway County,0
